Total Contract Spending Trend,,,,,,,,,,Yearly Spending Trend & Annual Contract Volume,,,,
"Insights: Shows which departments consume the largest share of public funds, helping identify budget concentration.",,,,,,,,,,"Insight: Displays growth or decline in government spending over time and shows contract activity level, ensuring spending trends are not misinterpreted and useful for budget forecasting",,,,
,,,,,,,,,,,,,,
Department,SUM of Award Amount,COUNTA of Purchase Order (Contract) Number,,,,,,,,Start Date Year,SUM of Award Amount,COUNTA of Purchase Order (Contract) Number,,
KILWINS CHOCOLATES|94563115A,"$212,721",,,,,,,,,,,,,
"WORLD LEADERS, LLC.|10619774","$211,512",,,,,,,,,,,,,
LINCOLN PARK CHAMBER OF COMMERCE|CLEANED-UP|91726474E,"$210,000",,,,,,,,,,,,,
AMY MARIE CASTANEDA DBA LITTLE VILLAGE ART AND NATURE CENTER|10624174,"$209,700",,,,,,,,,,,,,
"SHERMAN INVESTMENT GROUP, LTD|10611080","$208,200",,,,,,,,,,,,,
"BARRICADE LITES, INC.|93549053X","$208,073",,,,,,,,,,,,,
345 ART GALLERY LLC|10625790,"$207,075",,,,,,,,,,,,,
WESTCARE ILLINOIS INC|105460440H,"$207,000",,,,,,,,,,,,,
PROJECT RESTORE INITIATIVE LLC|105472294Z,"$207,000",,,,,,,,,,,,,
LIFE DIRECTIONS|102489745V,"$207,000",,,,,,,,,,,,,
BIG BROTHERS-BIG SISTERS OF METROPOLITAN CHICAGO|CLEANED-UP|95146954P,"$207,000",,,,,,,,,,,,,
CHICAGO LATINO THEATER|105455343L,"$205,000",,,,,,,,,,,,,
CHICAGO ARTISTS COALITION|31336031P,"$205,000",,,,,,,,,,,,,
"LONE STAR-CARDINAL MOTORCYCLE VENTURES III, LLC D/B/A FOX RIVER HARLEY-DAVIDSON|105503857V","$203,853",,,,,,,,,,,,,
WHIZ KIDS NURSERY CENTER INC|102464792H,"$202,723",,,,,,,,,,,,,
OLALEKAN JEYIFOUS|10617089,"$202,500",,,,,,,,,,,,,
TATIS FLORAL LLC|105509563M,"$200,393",,,,,,,,,,,,,
"THE ABERDEEN GROUP, INC.|105489022T","$200,000",,,,,,,,,,,,,
ROBERT FAUST 01|1057490,"$200,000",,,,,,,,,,,,,
OFFICE OF THE MEDICAL EXAMINER|85249729E,"$200,000",,,,,,,,,,,,,
MIDWAY CHAMBER OF COMMERCE|10617446,"$200,000",,,,,,,,,,,,,
K. L. F. ENTERPRISES INC|105473715E,"$200,000",,,,,,,,,,,,,
IHEARTMEDIA|105461243P,"$200,000",,,,,,,,,,,,,
CIVIC PROJECTS ARCHITECTURE LLC|10515449,"$200,000",,,,,,,,,,,,,
"CAPITAL FOR COMMUNITIES, LLC|10601995","$200,000",,,,,,,,,,,,,
C/Z DESIGN STRATEGIES LLC|10595576,"$200,000",,,,,,,,,,,,,
A LONG WALK HOME|105495538H,"$200,000",,,,,,,,,,,,,
18TH STREET. DEVELOPMENT. CORP.|3905060L,"$200,000",,,,,,,,,,,,,
GRAND STAGE LIGHTING CO INC|3817546L,"$199,740",,,,,,,,,,,,,
PUPSTARS PET CARE LLC|10621335,"$197,495",,,,,,,,,,,,,
RUTH PAGE FOUNDATION|3663088E,"$195,000",,,,,,,,,,,,,
NEAR NORTHWEST ARTS COUNCIL|14409133L,"$195,000",,,,,,,,,,,,,
BALLET CHICAGO COMPANY|22441677H,"$195,000",,,,,,,,,,,,,
51ST STREET BUSINESS ASSOCIATI|96113112M,"$193,000",,,,,,,,,,,,,
HILL MECHANICAL CORP|96825888X,"$192,753",,,,,,,,,,,,,
"A F C INTERNATIONAL, INC.|31319211T","$192,018",,,,,,,,,,,,,
KARTEMQUIN EDUCATIONAL FILMS|94682451T,"$192,000",,,,,,,,,,,,,
"CHARTWELL RX, LLC|10596462","$192,000",,,,,,,,,,,,,
SNOW CITY ARTS FOUNDATION|33664084V,"$190,000",,,,,,,,,,,,,
FIREBIRD COMMUNITY ARTS|105463798Z,"$190,000",,,,,,,,,,,,,
THE BLOC|10598723,"$189,585",,,,,,,,,,,,,
VIKEN DECTECTION|105467050M,"$187,220",,,,,,,,,,,,,
VECTOR DISEASE CONTROL INTERNATIONAL LLC|95053556Z,"$186,000",,,,,,,,,,,,,
WILLIAM FILAN LIMITED|105459995Z,"$184,000",,,,,,,,,,,,,
ZEPHYR DANCE ENSEMBLE|31331373M,"$182,691",,,,,,,,,,,,,
TEATRO VISTA THEATRE W/VIEW|34920838Z,"$180,000",,,,,,,,,,,,,
METROPOLITAN PLANNING COUNC 01|31303667L,"$180,000",,,,,,,,,,,,,
KALAPRIYA FOUNDATION|93419985T,"$180,000",,,,,,,,,,,,,
CHICAGO INDUSTRIAL ARTS & DESIGN CENTER|105455353P,"$180,000",,,,,,,,,,,,,
ARTS & BUSINESS COUNCIL OF CHICAGO|105467826H,"$180,000",,,,,,,,,,,,,
ARTHUR J GALLAGHER RISK MANAGEMENT SERVICES LLC|105458852P,"$180,000",,,,,,,,,,,,,
ARTISTS BREAKING LIMITS & EXPECTATIONS|105455273X,"$179,000",,,,,,,,,,,,,
"A.M. BUS COMPANY, INC.|45149743T","$178,480",,,,,,,,,,,,,
LEVEL ARCHITECTURE INCORPORATED|10611245,"$178,429",,,,,,,,,,,,,
BOKSTER PROPERTIES LLC|10561304,"$176,550",,,,,,,,,,,,,
URBAN GATEWAYS|22311188X,"$175,000",,,,,,,,,,,,,
UNIVERSITY OF CHICAGO 01|85241005Z,"$175,000",,,,,,,,,,,,,
"HEALTH MANAGEMENT ASSOCIATES,INCOFIL|23093484L","$175,000",,,,,,,,,,,,,
CALUMET COLLABORATIVE|10602583,"$175,000",,,,,,,,,,,,,
AMERICAN INDIAN CENTER|83859246E,"$175,000",,,,,,,,,,,,,
INDUSTRIAL COUNCIL OF NEAR WEST CHICAGO|85241479H,"$174,854",,,,,,,,,,,,,
"SURTEES, ECKHARDT, WOOLSEY & BLIZNICK, LLC DBA SLIDESHOW GEL|10611675","$174,615",,,,,,,,,,,,,
TELEFLEX LLC|105511083X,"$170,250",,,,,,,,,,,,,
PUBLIC MEDIA INSTITUTE|94093112P,"$170,000",,,,,,,,,,,,,
PRAIZE PRODUCTION INC NFP|105477718H,"$170,000",,,,,,,,,,,,,
MULTIPLIER|10601299,"$170,000",,,,,,,,,,,,,
LITTLE VILLAGE 26TH STREET|102492190L,"$170,000",,,,,,,,,,,,,
TRINITY RESOURCES UNLIMITED INC.|98673925X,"$169,739",,,,,,,,,,,,,
SOMOS ARTE NFP|10605330,"$167,975",,,,,,,,,,,,,
GREATER S.W. DEVELOPMENT CORP.|5135960E,"$167,274",,,,,,,,,,,,,
JUSTICE OF THE PIES L3C|105509617Z,"$166,928",,,,,,,,,,,,,
SMILING MOUNTAIN LLC|10619422,"$166,000",,,,,,,,,,,,,
CINEMA/CHICAGO THE CHICAGO INT|22494460T,"$165,000",,,,,,,,,,,,,
CHICAGO ARCHITECTURE FOUNDATION|102638327X,"$165,000",,,,,,,,,,,,,
"GIRLS IN THE GAME, NFP|CLEANED-UP|22267772H","$164,730",,,,,,,,,,,,,
COSTAR|CLEANED-UP|93688676T,"$164,606",,,,,,,,,,,,,
"EVERBRIDGE, INC.|105462958E","$163,751",,,,,,,,,,,,,
ZAM'S HOPE|31327882V,"$162,709",,,,,,,,,,,,,
XS TENNIS & EDUCATION FOUNDATION|105459761V,"$162,000",,,,,,,,,,,,,
VIETNAMESE ASSOCIATION OF ILLINOIS|CLEANED-UP|69283206E,"$162,000",,,,,,,,,,,,,
PROJECT SYNCERE|94141272H,"$162,000",,,,,,,,,,,,,
MALE MOGUL INITIATIVE INC. NFP|10233453,"$162,000",,,,,,,,,,,,,
"CHICAGO YOUTH BOXING CLUB, INC.|94141280Z","$162,000",,,,,,,,,,,,,
SOUTH CHICAGO PARENTS & FRIENDS INC|102498401E,"$160,782",,,,,,,,,,,,,
JOSEPH J. HENDERSON & SON INC.|105509800H,"$160,614",,,,,,,,,,,,,
REDTWIST THEATRE|53258022,"$160,485",,,,,,,,,,,,,
RIVER NORTH ASSOCICATION LIMITED|94315831X,"$160,000",,,,,,,,,,,,,
PRISON AND NEIGHBORHOOD ARTS/EDUCATION PROJECT|10595305,"$160,000",,,,,,,,,,,,,
NATIONAL MUSEUM OF PUERTO RICAN ARTS & CULTURE|105479459H,"$160,000",,,,,,,,,,,,,
"MIRACLE CENTER, INC.|94577011T","$160,000",,,,,,,,,,,,,
CHICAGO SHAKESPEARE THEATER|3787118A,"$160,000",,,,,,,,,,,,,
LAKE EFFECT BREWING COMPANY|10623467,"$157,054",,,,,,,,,,,,,
PILSEN CHAMBER OF COMMERCE|105509528E,"$153,000",,,,,,,,,,,,,
LIVE THE SPIRIT RESIDENCY|94659761M,"$153,000",,,,,,,,,,,,,
GERARDO A CAZARES|105466394V,"$153,000",,,,,,,,,,,,,
BUNNY EARS ART HOUSE LLC|10626596,"$152,590",,,,,,,,,,,,,
WESTYARD CORPORATION DBA SUNSHINE'S PLACE|10615790,"$151,782",,,,,,,,,,,,,
"FOUR BRANDS ENTERPRISES, LLC|10625786","$150,150",,,,,,,,,,,,,
THE WORKSHOP ARTS COLLABORATIVE LLC|10622003,"$150,000",,,,,,,,,,,,,
SUNSHINE GOSPEL MINISTRIES|95558191P,"$150,000",,,,,,,,,,,,,
STREET VENDORS ASSOCIATION OF CHICAGO|10593962,"$150,000",,,,,,,,,,,,,
REVOLUTION INSTITUTE|10621334,"$150,000",,,,,,,,,,,,,
RENAISSANCE COLLABORATIVE|28325716V,"$150,000",,,,,,,,,,,,,
NEW ERA WINDOWS LLC|10619865,"$150,000",,,,,,,,,,,,,
LA VILLITA HOUSING COOPERATIVE|10619186,"$150,000",,,,,,,,,,,,,
JUSTICE CREAM|10602133,"$150,000",,,,,,,,,,,,,
JUMPSTART HOUSING COOPERATIVE|10620534,"$150,000",,,,,,,,,,,,,
INTERNATIONAL MUSEUM OF SURGICAL SCI.|33798129M,"$150,000",,,,,,,,,,,,,
INTERNATIONAL LATINO CULTURAL CENTER|25952479T,"$150,000",,,,,,,,,,,,,
"IN CARE OF BLACK WOMEN, LLC|10619425","$150,000",,,,,,,,,,,,,
IGNATIAN MISSION CENTER|10616768,"$150,000",,,,,,,,,,,,,
HAZ COOPERATIVE STUDIOS|10621434,"$150,000",,,,,,,,,,,,,
GRANT PARK ORCHESTRAL ASSOCIATION|23294308M,"$150,000",,,,,,,,,,,,,
"CO-OP ED CENTER, NFP|10601559","$150,000",,,,,,,,,,,,,
CHICAGO FAMILY HOUSING COMMUNITY 1508 N HARDING DEVELOPMENT LLC|10620783,"$150,000",,,,,,,,,,,,,
CHICAGO EVENT GRAPHICS INC|105462407P,"$150,000",,,,,,,,,,,,,
BUSINESS SERVICES COLLECTIVE NFP|10614374,"$150,000",,,,,,,,,,,,,
BERNARD WILLIAMS 01|63314948Z,"$150,000",,,,,,,,,,,,,
AIRA TECH CORP|105505064H,"$150,000",,,,,,,,,,,,,
THEATRE Y|105477609A,"$149,000",,,,,,,,,,,,,
MECCA PERRY|36180395V,"$147,000",,,,,,,,,,,,,
KEHREIN CENTER FOR THE ARTS|10602729,"$145,000",,,,,,,,,,,,,
ENERWISE GLOBAL TECHNOLOGIES LLC D/B/A CPOWER|10625111,"$145,000",,,,,,,,,,,,,
CHICAGO WEST COMMUNITY MUSIC CENTER|33663112V,"$145,000",,,,,,,,,,,,,
CHICAGO A CAPPELLA|102697431Z,"$145,000",,,,,,,,,,,,,
YU & ASSOCIATES COLLABORATIVE|10611084,"$144,513",,,,,,,,,,,,,
TOWERS OF EXCELLENCE|10597124,"$144,000",,,,,,,,,,,,,
SIMPLE GOOD|10597127,"$144,000",,,,,,,,,,,,,
METROSQUASH|80647304L,"$144,000",,,,,,,,,,,,,
CATHOLIC YOUTH MINISTRY CENTER AT MORGAN PARK HIGH SCHOOL|94722892Z,"$144,000",,,,,,,,,,,,,
READER INSTITUTE FOR COMMUNITY JOURNALISM INC|10596632,"$140,000",,,,,,,,,,,,,
"MARWEN FOUNDATION, INC.|23409724P","$140,000",,,,,,,,,,,,,
LAWYERS FOR THE CREATIVE ARTS|102482888P,"$140,000",,,,,,,,,,,,,
JANE ADDAMS RESOURCE CORPORATION|99541780L,"$140,000",,,,,,,,,,,,,
INVISIBLE INSTITUTE|10602995,"$140,000",,,,,,,,,,,,,
CHICAGO SINFONIETTA|105466837L,"$140,000",,,,,,,,,,,,,
CHICAGO CHILDREN THEATRE|94668073T,"$140,000",,,,,,,,,,,,,
3 ARTS INC|88707765X,"$140,000",,,,,,,,,,,,,
MURNANE PAPER COMPANY|105479175Z,"$139,400",,,,,,,,,,,,,
"EQUITY INDUSTRIAL SUPPLY, INC.|93757074M","$138,000",,,,,,,,,,,,,
"SOMETHIN' SWEET DONUTS ON KEDZIE, INC.|10626334","$137,033",,,,,,,,,,,,,
JOFFREY BALLET OF CHICAGO|5547177P,"$135,000",,,,,,,,,,,,,
HYDE PARK JAZZ FESTIVAL|105477596M,"$135,000",,,,,,,,,,,,,
GREATER ROSELAND CHAMBER OF COMMERCE|93826460V,"$135,000",,,,,,,,,,,,,
TERRITORY NFP|102547714M,"$134,000",,,,,,,,,,,,,
NORMAL STUDIO INC.|10620836,"$134,000",,,,,,,,,,,,,
THE GROVE ON 66TH|10616754,"$132,463",,,,,,,,,,,,,
STORYCATCHERS THEATRE|93157220Z,"$130,000",,,,,,,,,,,,,
PAMELA SELF LANDSCAPE ARCHITECTURE LIMITED|95554796L,"$130,000",,,,,,,,,,,,,
GARFIELD PARK CONSERVATORY|91967329P,"$130,000",,,,,,,,,,,,,
CHANGING WORLDS|91371340Z,"$130,000",,,,,,,,,,,,,
CEDILLE CHICAGO NFP|95586945X,"$130,000",,,,,,,,,,,,,
AUDIENCE ARCHITECTS NFP|105476295X,"$130,000",,,,,,,,,,,,,
ARTISTS COOPERATIVE RESIDENCY & EXHIBITIONS|102678906L,"$130,000",,,,,,,,,,,,,
PHI TAK CENTER|93676981Z,"$128,000",,,,,,,,,,,,,
EXPERIMENTAL STATION: 6100 BLACKSTONE|99076541L,"$127,275",,,,,,,,,,,,,
CYNTHIA'S GUMBO EXPRESS|105464211L,"$126,735",,,,,,,,,,,,,
MOUNT SINAI HOSPITAL MEDCL CNT|6296102M,"$125,958",,,,,,,,,,,,,
RESPIRATORY HEALTH ASSOCIATION OF METROPOLITAN CHICAGO|5517694X,"$125,000",,,,,,,,,,,,,
KAY ALLEGRA LLC|10620184,"$125,000",,,,,,,,,,,,,
FACETS-MULTI-MEDIA INC|3709014E,"$125,000",,,,,,,,,,,,,
"88 PLATES, LLC|10614876","$123,245",,,,,,,,,,,,,
"CHILE TOREADO RESTAURANT, INC.|10627079","$123,000",,,,,,,,,,,,,
NORTH CENTER CHAMBER OF COMMER|90958608M,"$121,371",,,,,,,,,,,,,
WEST RIDGE CHAMBER OF COMMERCE|105461892A,"$120,000",,,,,,,,,,,,,
OPEN CENTER FOR THE ARTS|10594264,"$120,000",,,,,,,,,,,,,
MANDALA SOUTH ASIAN PERFORMING ARTS|105478466Z,"$120,000",,,,,,,,,,,,,
HYDE PARK SCHOOL OF DANCE|95370153Z,"$120,000",,,,,,,,,,,,,
COMMON PANTRY|94874468L,"$120,000",,,,,,,,,,,,,
CHICAGO CHILDREN'S CHOIR|22665236X,"$120,000",,,,,,,,,,,,,
CHICAGO ART DEPARTMENT|95600748Z,"$120,000",,,,,,,,,,,,,
BOBBY E. WRIGHT COMPREHENSIVE BEHAVIORAL HEALTH|105469440A,"$120,000",,,,,,,,,,,,,
GIFT THEATRE COMPANY|102460274V,"$119,000",,,,,,,,,,,,,
2620 W FLETCHER LLC|105509458T,"$118,110",,,,,,,,,,,,,
MAKING A DIFFERENCE DANCING RHYTHMS ORGANIZATION|105479119E,"$118,000",,,,,,,,,,,,,
"CLARK INVESTMENTS, LLC|10620213","$117,758",,,,,,,,,,,,,
PROJECT ONWARD|95337806L,"$117,000",,,,,,,,,,,,,
JAZZ INSTITUTE OF CHICAGO INC|31330192Z,"$117,000",,,,,,,,,,,,,
LOST BOYZ INC.|105489053L,"$115,684",,,,,,,,,,,,,
SOUTHEAST CHICAGO CHAMBER|92474905L,"$115,000",,,,,,,,,,,,,
ENSEMBLE ESPANOL|22672222X,"$115,000",,,,,,,,,,,,,
MORGAN PARK/BEVERLY HILLS|93872434X,"$113,333",,,,,,,,,,,,,
95TH ST. BEVERLY HILLS BUSINESS ASSOCIATION|36053873V,"$113,333",,,,,,,,,,,,,
REPUBLIC SERVICES INC|97987849L,"$112,800",,,,,,,,,,,,,
DAVID JOHN MILLER|10615215,"$112,500",,,,,,,,,,,,,
TONYA R. POE|10604117,"$111,000",,,,,,,,,,,,,
SPUDNIK PRESS COOPERATIVE|94680906Z,"$110,000",,,,,,,,,,,,,
RAGLAND & ASSOCIATES LLC|102680727E,"$110,000",,,,,,,,,,,,,
PRINCIPLE BARBERS|10596887,"$110,000",,,,,,,,,,,,,
BURST INTO BOOKS|10586624,"$110,000",,,,,,,,,,,,,
"DTN, LLC|102527943Z","$109,287",,,,,,,,,,,,,
SOUTH ASIA INSTITUTE|10596926,"$109,000",,,,,,,,,,,,,
CHICAGO METAMORPHOSIS ORCHESTRA PROJECT|102459343X,"$108,000",,,,,,,,,,,,,
"18TH STREET CASA DE CULTURA, NFP|10605130","$108,000",,,,,,,,,,,,,
UPTOWN OF CHAMBER OF COMMERCE|105468054A,"$107,500",,,,,,,,,,,,,
RED CLAY DANCE|94659791V,"$107,500",,,,,,,,,,,,,
"MCGUIRE, IGLESKI & ASSOCIATES|87978523E","$106,620",,,,,,,,,,,,,
SKILLS FOR CHICAGOLAND'S FUTURE|94206802P,"$105,600",,,,,,,,,,,,,
"GOODWILL INDUSTRIES OF METROPOLITAN CHICAGO, INC.|99076533T","$105,600",,,,,,,,,,,,,
AFRICAN AMERICAN CHRISTIAN FOUNDATION|102668415X,"$105,600",,,,,,,,,,,,,
TEATRO TARIAKURI|10593588,"$105,000",,,,,,,,,,,,,
MALCOLM X COLLEGE|102485509L,"$105,000",,,,,,,,,,,,,
FIRST COMMUNITY LAND TRUST OF CHICAGO|69975254Z,"$105,000",,,,,,,,,,,,,
URBAN CANOPY|102575174Z,"$104,500",,,,,,,,,,,,,
EDGEBROOK SAUGANASH CHAMBER OF COMMERCE|105472235X,"$104,227",,,,,,,,,,,,,
PG6 INC.|105511370T,"$103,793",,,,,,,,,,,,,
SAMANTHA KIRK|102546397V,"$103,000",,,,,,,,,,,,,
OPERA MATIC NFP|95371717T,"$103,000",,,,,,,,,,,,,
LITTLE VILLAGE COMMUNITY FOUNDATION|105477762T,"$102,000",,,,,,,,,,,,,
DAL NIENTE NEW MUSIC NFP|98694240E,"$102,000",,,,,,,,,,,,,
AUSTIN CHAMBER OF COMMERCE|90553713X,"$101,000",,,,,,,,,,,,,
"AV CHICAGO, INC.|28538270X","$100,138",,,,,,,,,,,,,
YOUTH FOR A BETTER FUTURE|10593961,"$100,000",,,,,,,,,,,,,
THIRD COAST PERCUSSION NFP|95406571X,"$100,000",,,,,,,,,,,,,
THIRD COAST INTERNATIONAL AUDIO FESTIVAL|102459279Z,"$100,000",,,,,,,,,,,,,
"TERRY DOWD, INC.|6123824H","$100,000",,,,,,,,,,,,,
SONIC EXPLORATIONS|105510920A,"$100,000",,,,,,,,,,,,,
SITHUB DBA CHICAGOTHERAPY COLLECTIVE|10605122,"$100,000",,,,,,,,,,,,,
SEGUNDO RUIZ BELVIS CULTURAL CENTER|105459795V,"$100,000",,,,,,,,,,,,,
PSYCHEMEDICS CORPORATION|23043301V,"$100,000",,,,,,,,,,,,,
PROFESSIONAL DYNAMIC NETWORK INC|93607864X,"$100,000",,,,,,,,,,,,,
PEOPLE MATTER|10590216,"$100,000",,,,,,,,,,,,,
NORTHWEST CONNECTION CHAMBER|95646409P,"$100,000",,,,,,,,,,,,,
NEWBERRY LIBRARY BUGHOUSE SQUARE DEBATES|3623334T,"$100,000",,,,,,,,,,,,,
NATYA DANCE COMPANY|31322713P,"$100,000",,,,,,,,,,,,,
LATENT DESIGN CORPORATION|98235549A,"$100,000",,,,,,,,,,,,,
INGENUITY INCORPORATED|55925024,"$100,000",,,,,,,,,,,,,
GREATER GOOD STUDIO|96223854Z,"$100,000",,,,,,,,,,,,,
GLESSNER HOUSE MUSEUM|22445227L,"$100,000",,,,,,,,,,,,,
GILLOURY INSTITUTE|94682456T,"$100,000",,,,,,,,,,,,,
FRIENDS OF LAKEVIEW|10604769,"$100,000",,,,,,,,,,,,,
DONORS FORUM OF CHICAGO 01|CLEANED-UP|93427852P,"$100,000",,,,,,,,,,,,,
"CONSERVATION OF SCULPTURE & OBJECTS STUDIO, INC.|31327094T","$100,000",,,,,,,,,,,,,
COLUMBIA COLLEGE CHICAGO|23054834Z,"$100,000",,,,,,,,,,,,,
CHICAGO YOUTH SYMPHONY ORCHESTRAS|29147636L,"$100,000",,,,,,,,,,,,,
CHICAGO OPERA THEATER|102581323L,"$100,000",,,,,,,,,,,,,
CHICAGO MEDIA PROJECT|105479219H,"$100,000",,,,,,,,,,,,,
CHICAGO JAZZ PHILHARMONIC|37582534E,"$100,000",,,,,,,,,,,,,
CENTER FOR INTERNATIONAL PERF/EXHIBIT|12965381V,"$100,000",,,,,,,,,,,,,
CAROL FOX & ASSOCIATES INC|22497727P,"$100,000",,,,,,,,,,,,,
AUDITORIUM THEATRE/ROOSEVELT|14840436X,"$100,000",,,,,,,,,,,,,
ARISE CHICAGO|105477405M,"$100,000",,,,,,,,,,,,,
ADVOCATE ILLINOIS MASONIC MEDICAL CENTER|85242515E,"$100,000",,,,,,,,,,,,,
ACCURATE BACKGROUND INC|94569908V,"$100,000",,,,,,,,,,,,,
JOHNSON CONTROLS SECURITY SOLUTIONS|105506640H,"$99,724",,,,,,,,,,,,,
YBE REALTY|10619713,"$99,656",,,,,,,,,,,,,
INTOXIMETERS INC.|93855455E,"$98,600",,,,,,,,,,,,,
METRIS ARTS LLC|105475896L,"$98,500",,,,,,,,,,,,,
RIVERS AND ROADS PROVISIONS LLC|10614877,"$98,489",,,,,,,,,,,,,
SANCHEZ PAVING COMPANY|23042485M,"$97,032",,,,,,,,,,,,,
KOMBI LLC|102636227L,"$96,500",,,,,,,,,,,,,
THE PRACTICE|10599370,"$96,000",,,,,,,,,,,,,
PASCALE IFE WILLIAMS|10620141,"$95,000",,,,,,,,,,,,,
OTV OPEN TELEVISION|10603003,"$95,000",,,,,,,,,,,,,
HIGH CONCEPT LABORATORIES|95475799L,"$95,000",,,,,,,,,,,,,
"FREE SPIRIT MEDIA, NFP|42651715A","$95,000",,,,,,,,,,,,,
DEFINITION THEATRE|104148112H,"$95,000",,,,,,,,,,,,,
"C-STRATEGIES, INC.|105475891X","$95,000",,,,,,,,,,,,,
"APPAREL INDUSTRY FOUNDATION, INC.|105479109Z","$95,000",,,,,,,,,,,,,
MURRAY & TRETTEL INC|31304319V,"$94,950",,,,,,,,,,,,,
IDENTISYS|93737053T,"$93,089",,,,,,,,,,,,,
NORFOLK SOUTHERN RAILWAY COMPANY|22073391A,"$92,257",,,,,,,,,,,,,
NON: OP OPEN OPERA WORKS|105460109A,"$91,000",,,,,,,,,,,,,
"NOBODY'S DARLING, INC.|10611372","$90,043",,,,,,,,,,,,,
SOULFUL BOOK FAIR FOUNDATION|10602789,"$90,000",,,,,,,,,,,,,
LATTITUDE INC NFP|98694260L,"$90,000",,,,,,,,,,,,,
FORTY ACRES FRESH MARKET|105464186E,"$90,000",,,,,,,,,,,,,
CHICAGO HUMANITIES FESTIVAL 01|85239847Z,"$90,000",,,,,,,,,,,,,
CHICAGO BLUES REVIVAL|105467581T,"$89,000",,,,,,,,,,,,,
OPEN BOOKS|88214839Z,"$88,913",,,,,,,,,,,,,
CHICAGO HONEY CO-OP|94290711M,"$87,603",,,,,,,,,,,,,
"CSX TRANSPORTATION, INC|10619361","$87,010",,,,,,,,,,,,,
CHICAGO DRAMATISTS WORKSHOPS|3786650L,"$87,000",,,,,,,,,,,,,
"INTERNATIONAL ART SERVICES, IN|105478183V","$86,010",,,,,,,,,,,,,
CHIH-JOU CHENG|10615341,"$85,750",,,,,,,,,,,,,
"SOUTH SIDE JAZZ COALITION, INC|102647428Z","$85,000",,,,,,,,,,,,,
ROMAN SUSAN ART FOUNDATION NFP|102690400X,"$85,000",,,,,,,,,,,,,
PROP THEATRE GROUP|85239641L,"$85,000",,,,,,,,,,,,,
POLISH AMERICAN CHAMBER OF COMMERCE|95235422T,"$85,000",,,,,,,,,,,,,
MUSICAL ARTS INSTITUTE|95405329M,"$85,000",,,,,,,,,,,,,
JAMES EMMETT JANKOWIAK|95236391A,"$85,000",,,,,,,,,,,,,
EX-CONS FOR COMMUNITY AND SOCIAL CHANGE|10566106,"$85,000",,,,,,,,,,,,,
AMERICAN INDIAN CENTER 01|31303659T,"$85,000",,,,,,,,,,,,,
"ADVANCE SECURITY RESOURCES, LLC|105492735P","$83,688",,,,,,,,,,,,,
TARGET SHOP LLC|102701730H,"$83,565",,,,,,,,,,,,,
CERQUA RIVERA ART EXPERIENCE|34321821Z,"$83,000",,,,,,,,,,,,,
ONE GROUP MIND LLC|10626548,"$82,121",,,,,,,,,,,,,
ROUGH HOUSE THEATER COMPANY|102467421A,"$82,000",,,,,,,,,,,,,
MISSISSIPPI MUESUM OF ART INC.|10626903,"$81,000",,,,,,,,,,,,,
ANNA MURPHY|10614246,"$81,000",,,,,,,,,,,,,
URBAN JUNCTURE FOUNDATION|102634456T,"$80,000",,,,,,,,,,,,,
SUZUKI-ORFF SCHOOL OF MUSIC 01|85248155L,"$80,000",,,,,,,,,,,,,
SUSAN KENNEDY-RIECHERS|10595579,"$80,000",,,,,,,,,,,,,
SIX CORNERS ASSOCIATION|102497684A,"$80,000",,,,,,,,,,,,,
NO SMALL PLAN PRODUCTIONS|105473145E,"$80,000",,,,,,,,,,,,,
GUS GIORDANO'S JAZZ DANCE CHICAGO|94680897X,"$80,000",,,,,,,,,,,,,
COLUMBIA COLLEGE-CHICAGO/GLASS CURTAIN GALLERY|3609622P,"$80,000",,,,,,,,,,,,,
CENTER FOR INTUITIVE & OUTSIDER ART|102690642A,"$80,000",,,,,,,,,,,,,
BEVERLY AREA PLANNING ASSOCIATION|59387401Z,"$80,000",,,,,,,,,,,,,
BELMONT-CENTRAL CHAMBER OF COMMERCE|25942644P,"$80,000",,,,,,,,,,,,,
BALZEKAS MUSEUM OF LITHUANIAN CULTURE|6400845P,"$80,000",,,,,,,,,,,,,
VOICE OF THE CITY|94682461V,"$78,000",,,,,,,,,,,,,
HAITIAN AMERICAN MUSEUM|98715549E,"$78,000",,,,,,,,,,,,,
U SELECT IT HOLDINGS LLC|105493026Z,"$76,293",,,,,,,,,,,,,
SHALOM PARKER|10615544,"$76,000",,,,,,,,,,,,,
NILE LANSANA|10619010,"$76,000",,,,,,,,,,,,,
UNION PACIFIC RAILROAD CO|85239780V,"$75,000",,,,,,,,,,,,,
SONES DE MEXICO ENSEMBLE|31324829H,"$75,000",,,,,,,,,,,,,
NEO-FUTURISTS|23118595X,"$75,000",,,,,,,,,,,,,
NEAR NORTH PLANNING BOARD|1044979,"$75,000",,,,,,,,,,,,,
MIDWAY BROADCASTING CORPORATION|10871810E,"$75,000",,,,,,,,,,,,,
MEZCLA MEDIA COLLECTIVE|105473914H,"$75,000",,,,,,,,,,,,,
ILLINOIS RESTAURANT ASSOCIATION|61535359L,"$75,000",,,,,,,,,,,,,
"GROW GREATER ENGLEWOOD, NFP|105502672H","$75,000",,,,,,,,,,,,,
CONGO SQUARE THEATRE COMPANY|95405315P,"$75,000",,,,,,,,,,,,,
CENTER FOR IMMIGRANT RESOURCES|34341741L,"$75,000",,,,,,,,,,,,,
