,Purchase Order Description,Purchase Order (Contract) Number,Revision Number,Specification Number,Contract Type,Start Date,End Date,Approval Date,Department,Vendor Name,Vendor ID,Address 1,Address 2,City,State,Zip,Award Amount,Procurement Type,Contract PDF
5412,"Grant Agreement, IAP",249671,0,1286325,COMPTROLLER-OTHER,01/01/2023,12/31/2024,11/22/2023,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,Arthur Black,10615788,5743 W. Eastwood Ave,,CHICAGO,IL,60630,"$6,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={5017598F-0000-C315-A2DC-D1401568C0BC}
5413,RFQ/MTA for Emergency Bridge and Viaduct Repair Program,148653,2,469935,CONSTRUCTION SERVICES,03/01/2021,05/30/2024,11/22/2023,CHICAGO DEPARTMENT OF TRANSPORTATION,"F.H. PASCHEN, S.N. NIELSEN & ASSOCIATES, LLC",102903767L,5515 N EAST RIVER ROAD EFT XX  2356,,CHICAGO,IL,60656,$0.00,MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={F089678E-0000-CA11-8D26-09D62D683799}
5414,"Grant Agreement, IAP",249685,0,1286330,COMPTROLLER-OTHER,01/01/2023,12/31/2024,11/22/2023,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,MATT FERGUSON,50092985,3023 N OAKLEY,,CHICAGO,IL,60618,"$6,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={3019598F-0000-C712-B28C-641C359BA54C}
5415,"Grant Agreement, IAP",249696,0,1286336,COMPTROLLER-OTHER,01/01/2023,12/31/2024,11/22/2023,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,Jake Hawrylak,10615961,"1009 N. Washtenaw St., Apt. 1S",,CHICAGO,IL,60622,"$4,750.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={601B598F-0000-CA18-BD6B-D1A13F29A692}
5416,"Grant Agreement, IAP",249701,0,1286344,COMPTROLLER-OTHER,01/01/2023,12/31/2024,11/22/2023,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,Jillian Gryzlak,10615949,2624 N. Avers,,CHICAGO,IL,60647,"$6,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={201E598F-0000-CE1B-8487-220CEB394076}
5417,"Grant Agreement, CARP",249640,0,1286283,COMPTROLLER-OTHER,01/01/2023,12/31/2024,11/21/2023,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,DAL NIENTE NEW MUSIC NFP,98694240E,2450 N HARDING AVE,,CHICAGO,IL,60647,"$78,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={A011598F-0000-C515-A03B-D319AF97C104}
5418,"Grant Agreement, CARP",249629,0,1286277,COMPTROLLER-OTHER,01/01/2023,12/31/2024,11/21/2023,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,PROP THEATRE GROUP,85239641L,3502-3504 N ELSTON AVE,,CHICAGO,IL,60618,"$85,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={500E598F-0000-CF11-92D2-70E3CC96DBA7}
5419,PROFESSIONAL STRUCTURAL ENGINEERING DESIGN CONSULTING SERVICES,147358,0,770762,ARCH/ENGINEERING,11/13/2023,11/12/2028,11/21/2023,DEPARTMENT OF WATER MANAGEMENT,"WISS, JANNEY, ELSTNER, & ASSOCIATES, INC.|CLEANED-UP",93120148H,330 PFINGSTEN ROAD EFT,,NORTHBROOK,IL,60062,"$5,000,000.00",RFQ,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={E08C0D93-0000-C516-A537-0C23633E2485}
5420,"Grant Agreement, Chicago Arts Recovery Program",249638,0,1286280,COMPTROLLER-OTHER,01/01/2023,12/31/2024,11/21/2023,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,WEST POINT FELLOWSHIP INC,95353712M,7206 S OGLESBY AVE,,CHICAGO,IL,60649,"$200,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={4010598F-0000-C616-ACCC-0B8B078D1B4E}
5421,"Grant Agreement, CARP",249636,0,1286279,COMPTROLLER-OTHER,01/01/2023,12/31/2024,11/21/2023,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,KUUMBA LYNX 01,31326109X,4501 N CLARENDON AVE,,CHICAGO,IL,60640,"$215,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={300F598F-0000-C718-8BD5-68BB07F3E6D6}
5422,"Grant Agreement, CARP",249628,0,1286275,COMPTROLLER-OTHER,01/01/2023,12/31/2024,11/21/2023,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,CHICAGO MULTI-CULTURAL DANCE CENTER,30837452E,806 S PLYMOUTH CT,,CHICAGO,IL,60605-2002,"$180,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={A00C598F-0000-CB17-B2AC-3115E7E96704}
5423,"Grant Agreement, Chicago Arts Recovery Program",249642,0,1286288,COMPTROLLER-OTHER,01/01/2023,12/31/2024,11/21/2023,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,Teatro Tariakuri,10593588,3117 W 63rd Street,,CHICAGO,IL,60629-0000,"$65,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={C013598F-0000-C515-9707-AC3D4F202D88}
5424,ENGINEERING SERVICES,249644,0,1286290,COMPTROLLER-OTHER,03/03/2022,06/30/2024,11/21/2023,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,NORFOLK SOUTHERN RAILWAY COMPANY,22073391A,TREASURER,PO BOX 116944,ATLANTA,GA,30368-6944,"$50,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={A014598F-0000-CE1D-8878-067862440E71}
5425,"Grant Agreement, Chicago Arts Recovery Program",249641,0,1286285,COMPTROLLER-OTHER,01/01/2023,12/31/2024,11/21/2023,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,UPRISING THEATER,105479508H,5431 N EAST RIVER RD # 804,,CHICAGO,IL,60656,"$200,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={B012598F-0000-CA1F-A634-2891AEA1CF0E}
5426,TRADESMEN SERVICES- CITY OF CHICAGO (Transfer from PO134502),248018,0,354609,WORK SERVICES / FACILITIES MAINT.,11/17/2023,08/09/2025,11/20/2023,DEPARTMENT OF WATER MANAGEMENT,CCS - Nu Veterans Joint Venture LLC,10618237,5835 W. Montrose Ave,,Chicago,IL,60634,"$116,813,982.20",CONTRACT ASSIGNMENT/TRANS,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={60A1178C-0000-CB15-9A54-4DE8E21794FF}
5427,2021 EQUITY LEAD LINE SERVICE REPLACEMENT CONSTRUCTION PROJECT - GROUP B - NORTH,171226,3,1216757,CONSTRUCTION-LARGE $3MILLIONorABOVE,11/08/2021,11/30/2024,11/20/2023,DEPARTMENT OF WATER MANAGEMENT,PLUMBING PROFESSIONALS CO,105478084V,3605 STATE RTE STE 47 EE,,MORRIS,IL,60450,"$5,005,760.10",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={E0DB838C-0000-C01D-BC4E-13BF4B8D7551}
5428,CDPH-CONTACT-TRACING: PO 241819 BELOVED COMM FAM WELL,241819,0,1209339,DELEGATE AGENCY,08/01/2023,07/31/2024,11/20/2023,,BELOVED COMMUNITY FAMILY WELLNESS CENTER,94090844L,6821 S HALSTED ST,,CHICAGO,IL,60621,"$180,794.00",SOLE SOURCE,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={F0C83B8C-0000-C519-9C62-957217399249}
5429,2021 EQUITY LEAD LINE SERVICE REPLACEMENT CONSTRUCTION PROJECT - GROUP C - WEST,171227,3,1216757,CONSTRUCTION-LARGE $3MILLIONorABOVE,11/08/2021,11/30/2024,11/20/2023,DEPARTMENT OF WATER MANAGEMENT,PLUMBING PROFESSIONALS CO,105478084V,3605 STATE RTE STE 47 EE,,MORRIS,IL,60450,"$5,005,760.10",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={D0F3F38B-0000-C619-8646-4390C01275E6}
5430,TERM AGREEMENTS FOR CONSTRUCTION MANAGEMENT SERVICES NON-TARGET MARKET,65964,2,137797,ARCH/ENGINEERING,03/08/2018,03/15/2025,11/20/2023,DEPARTMENT OF WATER MANAGEMENT,BURNS & MCDONNELL ENGINEERING CO. INC.,97246031M,9400 WARD PKWY,,KANSAS CITY,MO,64114-3319,$0.00,MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={9070F38B-0000-C919-B29E-5D1AD66CD174}
5431,TERM AGREEMENTS FOR CONSTRUCTION MANAGEMENT SERVICES NON-TARGET MARKET,65965,2,137797,ARCH/ENGINEERING,03/08/2018,03/15/2025,11/20/2023,DEPARTMENT OF WATER MANAGEMENT,"CIORBA GROUP, INC",105476238Z,8725 W HIGGINS RD,,CHICAGO,IL,60631,$0.00,MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={80CB838C-0000-C415-BE28-C7EF1FDF95D5}
5432,178159: VARIOUS TYPES OF FIRE SUPPRESSION FOAM (E-PROCUREMENT),61746,4,178159,COMMODITIES,08/16/2017,08/15/2025,11/20/2023,CHICAGO FIRE DEPARTMENT,"CHICAGO UNITED INDUSTRIES, LIMITED",105468708E,505 N LAKE SHORE DR,,CHICAGO,IL,60611,$0.00,BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={00B7178C-0000-C112-8305-B977B2B75FBA}
5433,PIPE INSULATION AND COVERING SERVICES,62053,4,383619,WORK SERV-AVIATION,08/23/2017,11/17/2023,11/17/2023,CHICAGO DEPARTMENT OF AVIATION,CHICAGO PIPE & BOILER COVER 01,102689231A,1891 OLD GRANART RD STE D,,SUGAR GROVE,IL,60554,$0.00,BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={009F178C-0000-C815-A7C2-1A5638CA2104}
5434,"ENVIRONMENTAL RESPONSE SERVICES, CATEGORY 3: REMEDIATION AND RESTORATION SERVICES FOR FIRE, SMOKE, STORM, WATER AND MOLD DAMAGE",33719,2,124799,"PRO SERV CONSULTING $250,000orABOVE",03/29/2017,09/26/2024,11/17/2023,DEPT OF ASSETS INFORMATION AND SERVICES,ACR INC,102460201A,551 GLENN AVENUE,,WHEELING,IL,60090,$0.00,RFP,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={F0B9128C-0000-CC18-9B68-3F2044A45FF3}
5435,PROPERTY MANAGEMENT SERVICES FOR TERMINAL 5 AT O'HARE INTERNATIONAL AIRPORT,27075,13,95248,PRO SERV-AVIATION,06/01/2012,11/30/2024,11/17/2023,CHICAGO DEPARTMENT OF AVIATION,SKYLINE MANAGEMENT GROUP O'HARE,94637052P,10000 W OHARE AIRPORT,,CHICAGO,IL,60666,"$33,311,988.00",RFP,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={20C3AE8E-0000-CF18-AD07-A2BFDB2FFDE3}
5436,DFSS-CORP-YS-MENT:,211754,1,1248935,DELEGATE AGENCY,01/01/2023,12/31/2024,11/16/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,UCAN (ULRICH CHILDRENS ADVANTAGE NETWORK),93262454H,3737 N MOZART ST,,CHICAGO,IL,60618,$0.00,RFQ,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={A0C8D88B-0000-C913-9B00-6EF5A8F62F37}
5437,NEIGHBORSPACE,248944,0,1285830,COMPTROLLER-OTHER,06/30/2023,12/31/2026,11/16/2023,DEPARTMENT OF PLANNING AND DEVELOPMENT,NEIGHBOR SPACE (BOWMANVILLE GATEWAY GARDEN,66170667P,445 N SACRAMENTO BLVD STE 204,,CHICAGO,IL,60612,"$1,755,739.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={A00A598F-0000-CB19-9C78-057805912474}
5438,Jackie Jackson Birthrights,248976,0,1285884,COMPTROLLER-OTHER,08/22/2023,08/31/2025,11/16/2023,DEPARTMENT OF PLANNING AND DEVELOPMENT,JACKIE JACKSON BIRTHRIGHTS INC.,10616847,4800 S KING DR,,CHICAGO,IL,60615,"$1,271,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={B00B598F-0000-C51C-98C5-78F7CF1DB86D}
5439,DPD-ARP-POP:,192979,4,1243875,DELEGATE AGENCY,07/01/2022,12/31/2024,11/15/2023,DEPARTMENT OF PLANNING AND DEVELOPMENT,IAYV INC,10593524,6018 South Saint Lawrence Avenue,Unit #1,CHICAGO,IL,60637,"$212,000.00",RFP,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={B029278C-0000-CA14-84A7-64013B854FE9}
5440,"Grant Agreement, CARP",248659,0,1285600,COMPTROLLER-OTHER,01/01/2023,12/31/2024,11/14/2023,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,NON: OP OPEN OPERA WORKS,105460109A,1767 W DEVON AVE,,CHICAGO,IL,60660,"$75,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={B0E2538F-0000-C817-8257-D783969F7591}
5441,"Grant Agreement, CARP",248677,0,1285612,COMPTROLLER-OTHER,01/01/2023,12/31/2024,11/14/2023,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,BLACK ALPHABET NFP,105475407H,332 S MICHIGAN AVE STE 1032-B13,,CHICAGO,IL,60604,"$200,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={30E7538F-0000-CB12-B7A7-6838210CDBE8}
5442,"Grant Agreement, CARP",248709,0,1285646,COMPTROLLER-OTHER,01/01/2023,12/31/2024,11/14/2023,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,LINKS HALL STUDIO,22438970Z,3435 N SHEFFIELD AVE FL 2ND,,CHICAGO,IL,60657,"$100,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={70EB538F-0000-C618-A9F5-931B354551E7}
5443,"Grant Agreement, CARP",248676,0,1285605,COMPTROLLER-OTHER,01/01/2023,12/31/2024,11/14/2023,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,BLACK ENSEMBLE THEATRE CORPORATION,31304451V,4520 N BEACON ST,,CHICAGO,IL,60640,"$150,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={90E6538F-0000-C41E-938D-84C1474D0FFE}
5444,"Grant Agreement, CARP",248675,0,1285604,COMPTROLLER-OTHER,01/01/2023,12/31/2024,11/14/2023,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,CHICAGO INDUSTRIAL ARTS & DESIGN CENTER,105455353P,6433 N RAVENSWOOD AVE,,CHICAGO,IL,60626,"$150,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={E0E5538F-0000-CD11-8313-C61F850438E8}
5445,"Grant Agreement, CARP",248664,0,1285601,COMPTROLLER-OTHER,01/01/2023,12/31/2024,11/14/2023,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,CHICAGO DANCEMAKERS FORUM,105477605T,159 E WALTON PL # 20A,,CHICAGO,IL,60611,"$200,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={70E3538F-0000-CD1E-8E6F-8E813B8A7CE0}
5446,4715 N WESTERN OWNER LLC,242016,1,1281211,COMPTROLLER-OTHER,07/17/2023,12/31/2055,11/14/2023,DEPARTMENT OF PLANNING AND DEVELOPMENT,4715 N WESTERN OWNER LLC,10616167,"185 DARTMOUTH STREET, SUITE# 900",,BOSTON,MH,2116,"$5,000,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={A0BD9893-0000-C615-A2AE-1C58780875C2}
5447,"Grant Agreement, CARP   ,",248679,0,1285615,COMPTROLLER-OTHER,01/01/2023,12/31/2024,11/14/2023,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,"ARTS OF LIFE, INC.",6736269X,2110 W GRAND AVE,,CHICAGO,IL,60612,"$165,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={C0E8538F-0000-C31C-976F-823038F39EAC}
5448,2023 Farmers Market Grant,248647,0,1285595,COMPTROLLER-OTHER,06/01/2023,12/31/2023,11/14/2023,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,FLOWERS COMMUNICATIONS GROUP,9978034A,542 S DEARBORN ST STE 1150,,CHICAGO,IL,60605,"$31,198.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={00E1538F-0000-CB11-BA2F-EC267162480A}
5449,Baron Partnership Corp,248674,0,1285603,COMPTROLLER-OTHER,10/27/2023,12/31/2023,11/14/2023,DEPARTMENT OF PLANNING AND DEVELOPMENT,Baron Partnership Corporation,10618104,609 Wysteria Drive,,Olympia Fields,IL,60461,"$500,036.60",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={20E5538F-0000-C916-8F76-F3B1AE850DE7}
5450,"Grant Agreement, CARP",248711,0,1285651,COMPTROLLER-OTHER,01/01/2023,12/31/2024,11/14/2023,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,Music in Urban Schools Inspiring Change,10617904,"2622 N. Avers, Unit 2F",,Chicago,IL,60647,"$55,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={C009598F-0000-C614-B8FA-038891223CFD}
5451,"Grant Agreement, CARP",248678,0,1285614,COMPTROLLER-OTHER,01/01/2023,12/31/2024,11/14/2023,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,ASIAN IMPROVE ARTS MIDWEST,46515384A,1012 S KENWILWORTH,,OAK PARK,IL,60304,"$190,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={20E8538F-0000-CC1E-BA27-B1CEAA46C79A}
5452,"Grant Agreement, CARP",248653,0,1285598,COMPTROLLER-OTHER,01/01/2023,12/31/2024,11/14/2023,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,JOHN WALT,105479440E,5922 W WALTON ST,,CHICAGO,IL,60651,"$55,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={E0E1538F-0000-CD13-A928-A26302C00F4F}
5453,"Grant Agreement, IAP",248645,0,1285593,COMPTROLLER-OTHER,01/01/2023,12/31/2024,11/14/2023,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,Alana Thompson,10615628,6116 S Bishop St,,Chicago,IL,60636,"$5,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={30E0538F-0000-C91F-BE90-51231B1F0953}
5454,"Grant Agreement, CARP",248710,0,1285648,COMPTROLLER-OTHER,01/01/2023,12/31/2024,11/14/2023,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,CERQUA RIVERA ART EXPERIENCE,34321821Z,2449 S CALIFORNIA BLVD,,CHICAGO,IL,60608,"$68,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={20EC538F-0000-C91D-BE37-5F79734F4FB3}
5455,"ENVIRONMENTAL ASSESSMENT, ENGINEERING & ECOLOGICAL SERVICES, CATEGORIES 1, 2, 7, 8, 9 Subcategories  a,  b, c, d, e, h,  i,  j,  k, 10  & 11",244734,0,1201184,ARCH/ENGINEERING,11/09/2023,01/25/2028,11/13/2023,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,TETRA TECH INC,102473281L,PO BOX 911642,,DENVER,CO,80291-1642,"$3,000,000.00",MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={708E178C-0000-C31E-9620-974D3A6F17EA}
5456,ON-CALL AIRPORT NOISE MANAGEMENT CONSULTING SERVICES (SPEC #1208208),239765,0,1208208,PRO SERV-AVIATION,09/08/2023,09/07/2028,11/13/2023,CHICAGO DEPARTMENT OF AVIATION,"LANDRUM & BROWN, INC|CLEANED-UP",45304123E,8755 W HIGGINS RD STE 850,,CHICAGO,IL,60631-2708,"$12,000,000.00",RFQ,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={709FB68C-0000-CD11-9FEA-D6F826101334}
5457,"REPAIR AND MAINTENANCE OF ELEVATORS, DUMBWAITERS, WHEEL CHAIR LIFTS AND RELATED EQUIPMENT",26775,13,105812,WORK SERVICES / FACILITIES MAINT.,09/27/2012,03/19/2024,11/13/2023,DEPT OF ASSETS INFORMATION AND SERVICES,SOUTHWEST INDUSTRIES,93727031X,ANDERSON ELEVATOR CO,2801 S 19TH AVE,BROADVIEW,IL,60155,$0.00,BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={F056CE8B-0000-CB1F-9A9D-BDF8EB4217AD}
5458,"TRANSFER FROM PO #46809 VARIOUS FURNITURE, ACCESSORIES AND RELATED FURNITURE RECONFIGURATION, REPAIR AND STORAGE SERVICES - GROUPS 48, 49",104036,2,134471,COMMODITIES,11/01/2016,10/31/2024,11/13/2023,DEPT OF ASSETS INFORMATION AND SERVICES,HARRISON2 INSPIRE,105477558X,5 OAK BROOK CLUB DR  P6N,,OAK BROOK,IL,60523,$0.00,BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={40A7F78B-0000-CC13-9709-D4ED5AE70C00}
5459,"MAINTENANCE, REPAIR AND PARTS ON PRESSROOM, BINDERY, PHOTOGRAPHIC EQUIPMENT AND LARGE FORMAT PRINTERS (GROUPS A & B)",61573,2,239276,WORK SERVICES / FACILITIES MAINT.,11/15/2017,11/14/2024,11/13/2023,DEPT OF ASSETS INFORMATION AND SERVICES,TOMPKINS PRINTING EQUIPMENT CO,31284669L,5050 N ROSE ST,,SCHILLER PARK,IL,60176,$0.00,BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={30EDCE8B-0000-CA10-B3F4-83ECDA10A252}
5460,"JANITORIAL SUPPLIES - L, T",41787,4,129464,COMMODITIES,07/15/2016,07/14/2024,11/13/2023,DEPT OF ASSETS INFORMATION AND SERVICES,"EQUITY INDUSTRIAL SUPPLY, INC.",93757074M,2000 S 25TH AVE,,BROADVIEW,IL,60155,$0.00,BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={C057CE8B-0000-C318-A6ED-D32D57170F83}
5461,1242723: INVEST SOUTH/ WEST AUSTIN: CHICAGO AVENUE IMPROVMENTS - AUSTIN BOULEVARD TO CENTRAL AVENUE,208284,5,1242723,CONSTRUCTION-LARGE $3MILLIONorABOVE,,,11/08/2023,CHICAGO DEPARTMENT OF TRANSPORTATION,"SUMIT CONSTRUCTION CO., INC.",21973746A,4150 W WRIGHTWOOD AVE FL 1ST,,CHICAGO,IL,60639,"-$81,876.90",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={40B4178C-0000-C812-8359-83BEFAE8C72E}
5462,"Grant Agreement, IAP",248316,0,1285360,COMPTROLLER-OTHER,01/01/2023,12/31/2024,11/08/2023,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,Michael Hoyt,10615986,"3013 W. Eastwood Ave., Apt. 3",,CHICAGO,IL,60625,"$6,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={80DF538F-0000-C610-A4D3-A6DFEA889259}
5463,"Grant Agreement, IAP",248311,0,1285354,COMPTROLLER-OTHER,01/01/2023,12/31/2024,11/08/2023,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,Jennifer Hodges,10615965,4164 S. Berkeley Ave,,CHICAGO,IL,60653,"$6,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={50DC538F-0000-C415-9C18-516C3B0859E9}
5464,"Grant Agreement, IAP",248315,0,1285359,COMPTROLLER-OTHER,01/01/2023,12/31/2024,11/08/2023,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,Andrea Jablonski,10615987,3310 W. Carroll Ave.,,CHICAGO,IL,60624,"$6,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={B0DE538F-0000-CE1B-AB9A-679E3F6BE898}
5465,"Grant Agreement, IAP",248312,0,1285355,COMPTROLLER-OTHER,01/01/2023,12/31/2024,11/08/2023,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,Marylu Herrera,10615964,3253 W. Hollywood Ave.,,CHICAGO,IL,60659,"$5,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={20DD538F-0000-CF1C-8838-A9972105FA63}
5466,"Grant Agreement, IAP",248102,0,1285265,COMPTROLLER-OTHER,01/01/2023,12/31/2024,11/07/2023,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,James Hosking,10615605,"823 W Lakeside Pl, Apt 3W",,Chicago,IL,60640-5156,"$5,500.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={90D4538F-0000-C510-B636-A2FA7CDC3C73}
5467,1242723: INVEST SOUTH/ WEST AUSTIN: CHICAGO AVENUE IMPROVMENTS - AUSTIN BOULEVARD TO CENTRAL AVENUE,208284,4,1242723,CONSTRUCTION-LARGE $3MILLIONorABOVE,,,11/07/2023,CHICAGO DEPARTMENT OF TRANSPORTATION,"SUMIT CONSTRUCTION CO., INC.",21973746A,4150 W WRIGHTWOOD AVE FL 1ST,,CHICAGO,IL,60639,"$7,253.80",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={2097B48B-0000-C116-984C-2DE4735A3B18}
