Row ID,Purchase Order Description,Purchase Order (Contract) Number,Revision Number,Specification Number,Contract Type,Start Date,End Date,Approval Date,Department,Vendor Name,Vendor ID,Address 1,City,State,Zip,Award Amount,Procurement Type,Start Date Year,End Date Year,Contract_Duration_Days,Approval_Delay_Days,Is_Zero_Award,Is_Negative_Modification,Is_High_Value,Award_Category,Vendor_Key,Revision_Count_Per_Contract
4702,SELF LOADING WHEEL LIFT TOW TRUCKS AND CAR CARRIERS,33814,9,123199,VEHICLES/HEAVY EQUIPMENT (CAPITAL),1/15/2016,7/13/2024,12/26/2023,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,LYNCH CHICAGO,45590835T,7335 W 100TH PL,BRIDGEVIEW,IL,60455,"$1,400,000",BID,2016,2024,3102,2902,0,0,1,Large,LYNCH CHICAGO|45590835T,3
4703,"MAINTENANCE, REPAIR AND UPFIT FOR CITY-OWNED VEHICLES AND EQUIPMENT",24516,9,81262,WORK SERVICES / FACILITIES MAINT.,10/1/2011,3/30/2024,12/26/2023,DEPT OF FLEET MGMT,"B & W TRUCK REPAIR, INC",22295242L,3701 S IRON ST FL 1ST,CHICAGO,IL,60609,$0,BID,2011,2024,4564,4469,1,0,0,Depends Upon Requirements,"B & W TRUCK REPAIR, INC|22295242L",3
4704,"1281271: 6 X 4 DIESEL POWERED CONVENTIONAL CAB/CHASSIS WITH DUMP BODIES, PREWET SYSTEMS, SNOWPLOW HITCHES, AND SNOWPLOWS MBE PARTICIPATION 3% WBE PARTICIPATION 2%",251641,0,1281271,VEHICLES/HEAVY EQUIPMENT (CAPITAL),12/20/2023,12/20/2028,12/26/2023,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,PATSON,93915714M,776 N YORK ROAD EFT,ELMHURST,IL,60126,"$59,855,319",BID,2023,2028,1827,6,0,0,1,Large,PATSON|93915714M,1
4705,HORSE FEED AND MISCELLANEOUS RELATED ITEMS (E-PROCUREMENT),97923,5,732421,COMMODITIES,4/23/2019,4/22/2027,12/26/2023,CHICAGO POLICE DEPARTMENT,BROOKWOOD FARMS LLC|CLEANED-UP,93884409Z,7850 W US 12 EFT,THREE OAKS,MI,49128,"$296,731",BID,2019,2027,2921,1708,0,0,1,Large,BROOKWOOD FARMS LLC|CLEANED-UP|93884409Z,2
4706,WATER TREATMENT CONSULTING SERVICES AT O'HARE AND MIDWAY INTERNATIONAL AIRPORTS,75366,2,232981,PRO SERV-AVIATION,8/1/2018,7/30/2025,12/22/2023,CHICAGO DEPARTMENT OF AVIATION,FEHR SOLUTIONS LLC,36240503E,"#193, 1770A SOUTH RANDALL RD",GENEVA,IL,60134,$0,RFP,2018,2025,2555,1969,1,0,0,Depends Upon Requirements,FEHR SOLUTIONS LLC|36240503E,1
4707,CREATIVE SCHOOLS     -,253490,0,1288994,COMPTROLLER-OTHER,1/1/2023,12/31/2023,12/22/2023,OFFICE OF BUDGET & MANAGEMENT,BOARD OF EDUCATION OF THE CITY OF CHICAGO,105458194X,1 N DEARBORN ST 950 EFT,CHICAGO,IL,60602,"$500,000",UNKNOWN,2023,2023,364,355,0,0,1,Large,BOARD OF EDUCATION OF THE CITY OF CHICAGO|105458194X,2
4708,CHOOSE TO CHANGE,253463,0,1288988,COMPTROLLER-OTHER,1/1/2023,12/31/2023,12/22/2023,OFFICE OF BUDGET & MANAGEMENT,BOARD OF EDUCATION OF THE CITY OF CHICAGO,105458194X,1 N DEARBORN ST 950 EFT,CHICAGO,IL,60602,"$1,145,000",UNKNOWN,2023,2023,364,355,0,0,1,Large,BOARD OF EDUCATION OF THE CITY OF CHICAGO|105458194X,2
4709,SAFE HAVEN       -,253487,0,1288993,COMPTROLLER-OTHER,1/1/2023,12/31/2023,12/22/2023,OFFICE OF BUDGET & MANAGEMENT,BOARD OF EDUCATION OF THE CITY OF CHICAGO,105458194X,1 N DEARBORN ST 950 EFT,CHICAGO,IL,60602,"$1,000,000",UNKNOWN,2023,2023,364,355,0,0,1,Large,BOARD OF EDUCATION OF THE CITY OF CHICAGO|105458194X,2
4710,GRANT AGREEMENT,253417,0,1288974,COMPTROLLER-OTHER,10/1/2023,12/31/2024,12/22/2023,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,CALCULATED GENIUS,10619265,550 W JACKSON BLVD. 11TH FLOOR,CHICAGO,IL,60661,"$38,000",UNKNOWN,2023,2024,457,82,0,0,0,Medium,CALCULATED GENIUS|10619265,1
4711,SUMMER YOUTH EMPLOYMENT,253471,0,1288990,COMPTROLLER-OTHER,1/1/2023,12/31/2023,12/22/2023,OFFICE OF BUDGET & MANAGEMENT,BOARD OF EDUCATION OF THE CITY OF CHICAGO,105458194X,1 N DEARBORN ST 950 EFT,CHICAGO,IL,60602,"$687,768",UNKNOWN,2023,2023,364,355,0,0,1,Large,BOARD OF EDUCATION OF THE CITY OF CHICAGO|105458194X,2
4712,PROFESSIONAL TASK ORDER SERVICES: GROUP A) FACILITIES ARCHITECTURE AND ENGINEERING (NON-FEDERAL),26646,9,98030,PRO SERV-AVIATION,10/2/2012,12/31/2025,12/22/2023,CHICAGO DEPARTMENT OF AVIATION,SOLOMON CORDWELL BUENZ & ASSOCIATES,10690920P,625 N MICHIGAN AVE STE 800,CHICAGO,IL,60611,"$1,700,000",RFQ,2012,2025,4838,4098,0,0,1,Large,SOLOMON CORDWELL BUENZ & ASSOCIATES|10690920P,1
4713,INSURANCE BROKER SERVICES,26939,9,112005,COMPTROLLER-OTHER,8/1/2012,1/31/2024,12/22/2023,DEPARTMENT OF FINANCE,USI INSURANCE SERVICES LLC.,102478310Z,PO BOX 62889,VIRGINIA BEACH,VA,23466,"$150,000",UNKNOWN,2012,2024,4200,4160,0,0,1,Large,USI INSURANCE SERVICES LLC.|102478310Z,6
4714,GRANT AGREEMENT,253416,0,1288965,COMPTROLLER-OTHER,10/31/2023,12/31/2024,12/22/2023,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,NEIGHBORSCAPES NFP,102467979L,710 ARGYLE,UNKNOWN CITY,IL,60422,"$15,000",UNKNOWN,2023,2024,427,52,0,0,0,Medium,NEIGHBORSCAPES NFP|102467979L,1
4715,AFTER SCHOOL MATTERS,253467,0,1288989,COMPTROLLER-OTHER,1/1/2023,12/31/2023,12/22/2023,OFFICE OF BUDGET & MANAGEMENT,BOARD OF EDUCATION OF THE CITY OF CHICAGO,105458194X,1 N DEARBORN ST 950 EFT,CHICAGO,IL,60602,"$1,000,000",UNKNOWN,2023,2023,364,355,0,0,1,Large,BOARD OF EDUCATION OF THE CITY OF CHICAGO|105458194X,2
4716,SAFE PASSAGE,253477,0,1288991,COMPTROLLER-OTHER,1/1/2023,12/31/2023,12/22/2023,OFFICE OF BUDGET & MANAGEMENT,BOARD OF EDUCATION OF THE CITY OF CHICAGO,105458194X,1 N DEARBORN ST 950 EFT,CHICAGO,IL,60602,"$1,000,000",UNKNOWN,2023,2023,364,355,0,0,1,Large,BOARD OF EDUCATION OF THE CITY OF CHICAGO|105458194X,2
4717,DFSS-CORP-HL-SOES:,230677,1,1236107,DELEGATE AGENCY,5/1/2023,12/31/2024,12/21/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,SALVATION ARMY FAMILY & COMMUNITY SERVICES,25964717T,4800 N MARINE DR,CHICAGO,IL,60630-2740,"$132,080",UNKNOWN,2023,2024,610,234,0,0,1,Large,SALVATION ARMY FAMILY & COMMUNITY SERVICES|25964717T,3
4718,DFSS-ARP-HS-CASST:,184945,2,1243249,DELEGATE AGENCY,3/9/2022,12/31/2024,12/21/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,"GIVEDIRECTLY, INC",10590211,PO BOX 3221,NEW YORK,NY,10008,"$30,983,428",UNKNOWN,2022,2024,1028,652,0,0,1,Large,"GIVEDIRECTLY, INC|10590211",3
4719,DFSS-CDBG-DV-CCMS:,177750,2,1220892,DELEGATE AGENCY,1/1/2022,12/31/2024,12/21/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,RESURRECTION PROJECT,103368522L,1805 S ASHLAND AVENUE EFT,CHICAGO,IL,60608,"$59,385",UNKNOWN,2022,2024,1095,719,0,0,0,Medium,RESURRECTION PROJECT|103368522L,3
4720,DFSS-ESG-HL-ESH:,174612,2,1235949,DELEGATE AGENCY,1/1/2022,12/31/2024,12/21/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,OLIVE BRANCH MISSION 01|CLEANED-UP,95162635Z,2636 W MARQUETTE RD,CHICAGO,IL,60629,"$2,160,902",UNKNOWN,2022,2024,1095,719,0,0,1,Large,OLIVE BRANCH MISSION 01|CLEANED-UP|95162635Z,3
4721,DFSS-ARP-DV-LSFGBVS:,196045,2,1242079,DELEGATE AGENCY,5/1/2022,12/31/2024,12/21/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,METROPOLITAN FAMILY SERVICE,102603122X,SUITE 1000,CHICAGO,IL,60602,"$156,667",UNKNOWN,2022,2024,975,599,0,0,1,Large,METROPOLITAN FAMILY SERVICE|102603122X,5
4722,DFSS-IDHS-HL-SOES:,174906,2,1236107,DELEGATE AGENCY,1/1/2022,12/31/2024,12/21/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,THRESHOLDS,93347425L,4101 N RAVENSWOOD AVENUE EFT,CHICAGO,IL,60613,"$720,000",UNKNOWN,2022,2024,1095,719,0,0,1,Large,THRESHOLDS|93347425L,3
4723,DFSS-CDBG-WS-TJP:,177412,2,1221530,DELEGATE AGENCY,1/1/2022,12/31/2024,12/21/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,MCDERMOTT CENTER|CLEANED-UP,87075014A,120 N SANGAMON EFT,CHICAGO,IL,60607,"$271,408",UNKNOWN,2022,2024,1095,719,0,0,1,Large,MCDERMOTT CENTER|CLEANED-UP|87075014A,3
4724,DFSS-CDBG-SS-ICAS:,176307,1,1237189,DELEGATE AGENCY,1/1/2022,12/31/2024,12/21/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,NORTHSIDE COMMUNITY DEVELOPMENT CORPORATION|CLEANED-UP,94547541L,1530 W MORSE AVENUE EFT,CHICAGO,IL,60626,"$42,000",UNKNOWN,2022,2024,1095,719,0,0,0,Medium,NORTHSIDE COMMUNITY DEVELOPMENT CORPORATION|CLEANED-UP|94547541L,2
4725,DFSS-CSBG-HL-ESH:,174604,2,1235949,DELEGATE AGENCY,1/1/2022,12/31/2024,12/21/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,INSTITUTE FOR WOMEN TODAY,3683975V,MARIA SHELTER,CHICAGO,IL,60621,"$591,674",UNKNOWN,2022,2024,1095,719,0,0,1,Large,INSTITUTE FOR WOMEN TODAY|3683975V,3
4726,DFSS-ARP-YS-SYEP:,203298,2,1235846,DELEGATE AGENCY,9/1/2022,12/31/2024,12/21/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,METROPOLITAN FAMILY SERVICE,102603122X,SUITE 1000,CHICAGO,IL,60602,"$534,661",UNKNOWN,2022,2024,852,476,0,0,1,Large,METROPOLITAN FAMILY SERVICE|102603122X,3
4727,DFSS-CORP-HL-PSH:,174316,2,1221503,DELEGATE AGENCY,1/1/2022,12/31/2024,12/21/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,OLIVE BRANCH MISSION 01|CLEANED-UP,95162635Z,2636 W MARQUETTE RD,CHICAGO,IL,60629,"$207,200",UNKNOWN,2022,2024,1095,719,0,0,1,Large,OLIVE BRANCH MISSION 01|CLEANED-UP|95162635Z,3
4728,DFSS-CORP-DV-CCMS:,177757,2,1220892,DELEGATE AGENCY,1/1/2022,12/31/2024,12/21/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,SWEDISH COVENANT HOSPITALLABDEPARTMENT LAB DEPARTMENT,15809281H,5145 N CALIFORNIA AVE STE 645,CHICAGO,IL,60625,"$10,155",UNKNOWN,2022,2024,1095,719,0,0,0,Medium,SWEDISH COVENANT HOSPITALLABDEPARTMENT LAB DEPARTMENT|15809281H,3
4729,DFSS-ARP-YS-CYSC:,223861,1,1235861,DELEGATE AGENCY,3/1/2023,12/31/2024,12/21/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,NORTHWESTERN UNIVERSITY,27481184P,750 N LAKE SHORE DR RM 540,CHICAGO,IL,60611,"$524,278",UNKNOWN,2023,2024,671,295,0,0,1,Large,NORTHWESTERN UNIVERSITY|27481184P,2
4730,DFSS-CORP-HL-HMLPREV:,174284,2,1221508,DELEGATE AGENCY,1/1/2022,12/31/2024,12/21/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,ALL CHICAGO MAKING HOMELESSNESS HISTORY,97415498V,651 W WASHINGTON BLVD,CHICAGO,IL,60661,"$62,956",UNKNOWN,2022,2024,1095,719,0,0,0,Medium,ALL CHICAGO MAKING HOMELESSNESS HISTORY|97415498V,3
4731,DFSS-ARP-HS-CASST:,184823,1,1240274,DELEGATE AGENCY,3/9/2022,12/31/2024,12/21/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,PHI TAK CENTER,93676981Z,2216 S WENTWORTH AVE,CHICAGO,IL,60616,"$10,000",UNKNOWN,2022,2024,1028,652,0,0,0,Medium,PHI TAK CENTER|93676981Z,3
4732,DFSS-CORP-HL-PSH:,174298,2,1221503,DELEGATE AGENCY,1/1/2022,12/31/2024,12/21/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,"INSPIRATION CORPORATION, CHICAGO",22056300X,1325 W WILSON AVE,CHICAGO,IL,60640-6201,"$26,000",UNKNOWN,2022,2024,1095,719,0,0,0,Medium,"INSPIRATION CORPORATION, CHICAGO|22056300X",3
4733,DFSS-CORP-HL-SOES:,174884,2,1236107,DELEGATE AGENCY,1/1/2022,12/31/2024,12/21/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,HOWARD BROWN HEALTH CENTER,15183609E,4025 N SHERIDAN ROAD EFT,CHICAGO,IL,60613,"$93,332",UNKNOWN,2022,2024,1095,719,0,0,0,Medium,HOWARD BROWN HEALTH CENTER|15183609E,3
4734,DFSS-ARP-HS-CASST:,184830,1,1240274,DELEGATE AGENCY,3/9/2022,12/31/2024,12/21/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,CENTER FOR CHANGING LIVES,1047758,1955 N. SAINT LOUIS AVE,CHICAGO,IL,60647,"$10,000",UNKNOWN,2022,2024,1028,652,0,0,0,Medium,CENTER FOR CHANGING LIVES|1047758,3
4735,DFSS-ARP-YS-YIP:,220531,1,1259434,DELEGATE AGENCY,3/1/2023,12/31/2024,12/21/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,UNIVERSAL FAMILY CONNECTION INC,3750627Z,1350 W 103RD ST,CHICAGO,IL,60643,"$125,000",UNKNOWN,2023,2024,671,295,0,0,1,Large,UNIVERSAL FAMILY CONNECTION INC|3750627Z,3
4736,DFSS-CORP-HL-ESH:,174636,2,1235949,DELEGATE AGENCY,1/1/2022,12/31/2024,12/21/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,NIGHT MINISTRY,50130252P,4711 N RAVENSWOOD AVENUE EFT,CHICAGO,IL,60640-4407,"$233,600",UNKNOWN,2022,2024,1095,719,0,0,1,Large,NIGHT MINISTRY|50130252P,3
4737,DFSS-ARP-YS-CYSC:,187478,2,1235861,DELEGATE AGENCY,4/1/2022,12/31/2024,12/21/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,PHALANX FAMILY SERVICES,85554962P,4628 W WASHINGTON BLVD,CHICAGO,IL,60644,$0,UNKNOWN,2022,2024,1005,629,1,0,0,Depends Upon Requirements,PHALANX FAMILY SERVICES|85554962P,3
4738,DFSS-IDHS-HL-INTHS:,174522,2,1235949,DELEGATE AGENCY,1/1/2022,12/31/2024,12/21/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,CHRISTIAN COMMUNITY HEALTH CENTER,9099540Z,9718 S HALSTED ST,CHICAGO,IL,60628,"$636,256",UNKNOWN,2022,2024,1095,719,0,0,1,Large,CHRISTIAN COMMUNITY HEALTH CENTER|9099540Z,3
4739,DFSS-CDBG-SS-HWP:,182639,1,1230033,DELEGATE AGENCY,2/1/2022,12/31/2024,12/21/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,WHITE CRANE WELLNESS CENTER,93332253E,1657 W FOSTER AVENUE EFT,CHICAGO,IL,60640,"$50,000",UNKNOWN,2022,2024,1064,688,0,0,0,Medium,WHITE CRANE WELLNESS CENTER|93332253E,2
4740,DFSS-ARP-YS-CYSC:,187418,2,1235861,DELEGATE AGENCY,4/1/2022,12/31/2024,12/21/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,BROADER.URBAN.INVESTMENT.L.D. INC,93734476Z,5100 W HARRISON ST,CHICAGO,IL,60644,"$9,522",UNKNOWN,2022,2024,1005,629,0,0,0,Small,BROADER.URBAN.INVESTMENT.L.D. INC|93734476Z,3
4741,DFSS-CSBG-WS-TJP:,177532,2,1221530,DELEGATE AGENCY,1/1/2022,12/31/2024,12/21/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,GREATER WEST TOWN COMMUNITY DEVELOPMENT PROJECT,31316397P,1579 N MILWAUKEE AVE FL 2ND,CHICAGO,IL,60622,"$312,800",UNKNOWN,2022,2024,1095,719,0,0,1,Large,GREATER WEST TOWN COMMUNITY DEVELOPMENT PROJECT|31316397P,3
4742,DFSS-CORP-HL-SOES:,230644,1,1236107,DELEGATE AGENCY,5/1/2023,12/31/2024,12/21/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,CHRISTIAN COMMUNITY HEALTH CENTER,9099540Z,9718 S HALSTED ST,CHICAGO,IL,60628,"$127,862",UNKNOWN,2023,2024,610,234,0,0,1,Large,CHRISTIAN COMMUNITY HEALTH CENTER|9099540Z,3
4743,DFSS-CDBG-HL-ESH:,174505,2,1235949,DELEGATE AGENCY,1/1/2022,12/31/2024,12/21/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,"BREAKTHROUGH URBAN MINISTRIES, INC.",94722896V,402 N ST LOUIS AVENUE EFT,CHICAGO,IL,60624,"$400,000",UNKNOWN,2022,2024,1095,719,0,0,1,Large,"BREAKTHROUGH URBAN MINISTRIES, INC.|94722896V",3
4744,DFSS-CDBG-HL-ESH:,174585,2,1235949,DELEGATE AGENCY,1/1/2022,12/31/2024,12/21/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,DEBORAH'S PLACE 01,38790980A,2822 W JACKSON EFT,CHICAGO,IL,60612,"$161,180",UNKNOWN,2022,2024,1095,719,0,0,1,Large,DEBORAH'S PLACE 01|38790980A,3
4745,DFSS-CHA-HL-PSH:,174291,2,1221503,DELEGATE AGENCY,1/1/2022,12/31/2024,12/21/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,"BREAKTHROUGH URBAN MINISTRIES, INC.",94722896V,402 N ST LOUIS AVENUE EFT,CHICAGO,IL,60624,"$73,336",UNKNOWN,2022,2024,1095,719,0,0,0,Medium,"BREAKTHROUGH URBAN MINISTRIES, INC.|94722896V",3
4746,DFSS-CORP-YS-CYSC:,187491,2,1235861,DELEGATE AGENCY,4/1/2022,12/31/2024,12/21/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,PROJECT: VISION INC.,105463122L,236 W 22ND PL,CHICAGO,IL,60616,"$9,522",UNKNOWN,2022,2024,1005,629,0,0,0,Small,PROJECT: VISION INC.|105463122L,3
4747,DFSS-CDBG-DV-CCMS:,177756,2,1220892,DELEGATE AGENCY,1/1/2022,12/31/2024,12/21/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,SWEDISH COVENANT HOSPITALLABDEPARTMENT LAB DEPARTMENT,15809281H,5145 N CALIFORNIA AVE STE 645,CHICAGO,IL,60625,"$34,845",UNKNOWN,2022,2024,1095,719,0,0,0,Medium,SWEDISH COVENANT HOSPITALLABDEPARTMENT LAB DEPARTMENT|15809281H,3
4748,DFSS-ARP-YS-MCMF:,237972,1,1261336,DELEGATE AGENCY,8/1/2023,12/31/2024,12/21/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,NORTHWEST SIDE HOUSING CENTER,97390956Z,5233 W DIVERSEY AVENUE EFT,CHICAGO,IL,60638,"$147,797",UNKNOWN,2023,2024,518,142,0,0,1,Large,NORTHWEST SIDE HOUSING CENTER|97390956Z,3
4749,DFSS-CDBG-HL-ESH:,174580,2,1235949,DELEGATE AGENCY,1/1/2022,12/31/2024,12/21/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,CORNERSTONE COMMUNITY OUTREACH,11986037E,939 W WILSON AVE,CHICAGO,IL,60640,"$2,761,384",UNKNOWN,2022,2024,1095,719,0,0,1,Large,CORNERSTONE COMMUNITY OUTREACH|11986037E,3
4750,DFSS-CORP-HL-PBTH:,175234,2,1236413,DELEGATE AGENCY,1/1/2022,12/31/2024,12/21/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,KIDS ABOVE ALL ILLINOIS,105478810V,8765 W HIGGINS ROAD EFT,CHICAGO,IL,60631,"$200,000",UNKNOWN,2022,2024,1095,719,0,0,1,Large,KIDS ABOVE ALL ILLINOIS|105478810V,3
4751,DFSS-ARP-YS-YIP:,220524,1,1259434,DELEGATE AGENCY,3/1/2023,12/31/2024,12/21/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,IGNITE ORG.,105461064X,3179 N BROADWAY,CHICAGO,IL,60657,"$125,000",UNKNOWN,2023,2024,671,295,0,0,1,Large,IGNITE ORG.|105461064X,3
4752,DFSS-ESG-HL-ESH:,174601,2,1235949,DELEGATE AGENCY,1/1/2022,12/31/2024,12/21/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,GOOD NEWS PARTNERS,3947746A,1600 W JONQUIL TER,CHICAGO,IL,60626,"$396,400",UNKNOWN,2022,2024,1095,719,0,0,1,Large,GOOD NEWS PARTNERS|3947746A,3
4753,DFSS-CORP-HL-INTHS:,214492,1,1263475,DELEGATE AGENCY,1/1/2023,12/31/2024,12/21/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,NIGHT MINISTRY,50130252P,4711 N RAVENSWOOD AVENUE EFT,CHICAGO,IL,60640-4407,"$23,360",UNKNOWN,2023,2024,730,354,0,0,0,Medium,NIGHT MINISTRY|50130252P,3
4754,DFSS-CDBG-WS-ISTPP:,177230,2,1237847,DELEGATE AGENCY,1/1/2022,12/31/2024,12/21/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,CENTER FOR CHANGING LIVES,1047758,1955 N. SAINT LOUIS AVE,CHICAGO,IL,60647,"$140,000",UNKNOWN,2022,2024,1095,719,0,0,1,Large,CENTER FOR CHANGING LIVES|1047758,3
4755,DFSS-CDBG-HL-ESH:,174620,3,1235949,DELEGATE AGENCY,1/1/2022,12/31/2024,12/21/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,ST. LEONARD'S MINISTRIES|CLEANED-UP,33705654T,2100 W WARREN BOULEVARD EFT,CHICAGO,IL,60612,"$563,068",UNKNOWN,2022,2024,1095,719,0,0,1,Large,ST. LEONARD'S MINISTRIES|CLEANED-UP|33705654T,3
4756,DFSS-CORP-HL-PSH:,174299,2,1221503,DELEGATE AGENCY,1/1/2022,12/31/2024,12/21/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,"INSPIRATION CORPORATION, CHICAGO",22056300X,1325 W WILSON AVE,CHICAGO,IL,60640-6201,"$225,000",UNKNOWN,2022,2024,1095,719,0,0,1,Large,"INSPIRATION CORPORATION, CHICAGO|22056300X",3
4757,DFSS-ARP-DV-CCAC:,204380,2,1256290,DELEGATE AGENCY,7/1/2022,12/31/2024,12/21/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,CHICAGO CHILDREN'S ADVOCACY CENTER,6984030T,1240 S DAMEN AVE FL 1ST,CHICAGO,IL,60608,"$75,000",UNKNOWN,2022,2024,914,538,0,0,0,Medium,CHICAGO CHILDREN'S ADVOCACY CENTER|6984030T,4
4758,DFSS-CORP-YS-OST:,208803,1,1246129,DELEGATE AGENCY,1/1/2023,12/31/2024,12/21/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,INSTITUTE FOR LATINO PROGRESS,27936877M,2570 S BLUE ISLAND AVENUE EFT,CHICAGO,IL,60608,"$32,000",RFP,2023,2024,730,354,0,0,0,Medium,INSTITUTE FOR LATINO PROGRESS|27936877M,3
4759,DFSS-CORP-HL-ESH:,174605,2,1235949,DELEGATE AGENCY,1/1/2022,12/31/2024,12/21/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,INSTITUTE FOR WOMEN TODAY,3683975V,MARIA SHELTER,CHICAGO,IL,60621,"$500,196",UNKNOWN,2022,2024,1095,719,0,0,1,Large,INSTITUTE FOR WOMEN TODAY|3683975V,3
4760,DFSS-CDBG-HL-HMLPREV:,174657,2,1236028,DELEGATE AGENCY,1/1/2022,12/31/2024,12/21/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,LAWYERS COMMITTEE FOR BETTER HOUSING,94703156T,33 N LA SALLE STREET EFT,CHICAGO,IL,60602,"$215,972",UNKNOWN,2022,2024,1095,719,0,0,1,Large,LAWYERS COMMITTEE FOR BETTER HOUSING|94703156T,3
4761,DFSS-CDBG-WS-EPPP:,177392,2,1237958,DELEGATE AGENCY,1/1/2022,12/31/2024,12/21/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,METROPOLITAN FAMILY SERVICE,102603122X,SUITE 1000,CHICAGO,IL,60602,"$469,200",UNKNOWN,2022,2024,1095,719,0,0,1,Large,METROPOLITAN FAMILY SERVICE|102603122X,3
4762,DFSS-CORP-HL-PSH:,174297,2,1221503,DELEGATE AGENCY,1/1/2022,12/31/2024,12/21/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,"HOUSING OPPORTUNITIES FOR WOMEN, INC.",5256432X,1150 W LUNT AVE,CHICAGO,IL,60626,"$651,800",UNKNOWN,2022,2024,1095,719,0,0,1,Large,"HOUSING OPPORTUNITIES FOR WOMEN, INC.|5256432X",3
4763,DFSS-CORP-HL-ESH:,175085,2,1235949,DELEGATE AGENCY,1/1/2022,12/31/2024,12/21/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,WM INITIATIVES LLC,102453997T,5104 TOLLVIEW DR,ROLLING MEADOWS,IL,60008,"$722,700",UNKNOWN,2022,2024,1095,719,0,0,1,Large,WM INITIATIVES LLC|102453997T,3
4764,CDPH-CONTACT-TRACING: PO 241839 PRIMECARE COMM HLTH,241839,0,1209339,DELEGATE AGENCY,8/1/2023,7/31/2024,12/21/2023,UNKNOWN,PRIMECARE COMMUNITY HEALTH CENTER,105465824T,2211 N ELSTON AVE STE 301,CHICAGO,IL,60614,"$246,216",SOLE SOURCE,2023,2024,365,142,0,0,1,Large,PRIMECARE COMMUNITY HEALTH CENTER|105465824T,1
4765,DFSS-CDBG-WS-ISTPP:,177232,2,1237847,DELEGATE AGENCY,1/1/2022,12/31/2024,12/21/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,COMMUNITY ASSISTANCE PROGRAMS,102615747X,11715 S HALSTED ST,CHICAGO,IL,60628,"$143,952",UNKNOWN,2022,2024,1095,719,0,0,1,Large,COMMUNITY ASSISTANCE PROGRAMS|102615747X,3
